image1,image2,mos1,mos2,worst1,best1,worst2,best2
4armsMonstre_Octree_1.ply,4armsMonstre_Octree_2.ply,3.71875,3.3125,2.5,5.0,2.0,5.0
4armsMonstre_Octree_1.ply,4armsMonstre_Octree_3.ply,3.71875,3.142857143,2.5,5.0,1.5,5.0
4armsMonstre_Octree_1.ply,4armsMonstre_Octree_4.ply,3.71875,2.533333333,2.5,5.0,1.0,4.5
4armsMonstre_Octree_1.ply,4armsMonstre_Octree_5.ply,3.71875,2.166666667,2.5,5.0,1.0,3.5
4armsMonstre_Octree_2.ply,4armsMonstre_Octree_3.ply,3.3125,3.142857143,2.0,5.0,1.5,5.0
4armsMonstre_Octree_2.ply,4armsMonstre_Octree_4.ply,3.3125,2.533333333,2.0,5.0,1.0,4.5
4armsMonstre_Octree_2.ply,4armsMonstre_Octree_5.ply,3.3125,2.166666667,2.0,5.0,1.0,3.5
4armsMonstre_Octree_3.ply,4armsMonstre_Octree_4.ply,3.142857143,2.533333333,1.5,5.0,1.0,4.5
4armsMonstre_Octree_3.ply,4armsMonstre_Octree_5.ply,3.142857143,2.166666667,1.5,5.0,1.0,3.5
4armsMonstre_Octree_4.ply,4armsMonstre_Octree_5.ply,2.533333333,2.166666667,1.0,4.5,1.0,3.5
Asterix_GammaNoise_1.ply,Asterix_GammaNoise_3.ply,3.214285714,2.75,2.5,5.0,2.0,5.0
Asterix_GammaNoise_1.ply,Asterix_GammaNoise_4.ply,3.214285714,2.966666667,2.5,5.0,1.5,5.0
Asterix_GammaNoise_1.ply,Asterix_GammaNoise_5.ply,3.214285714,2.857142857,2.5,5.0,1.0,4.5
Asterix_GammaNoise_1.ply,Asterix_GammaNoise_7.ply,3.214285714,2.285714286,2.5,5.0,1.0,3.5
Asterix_GammaNoise_3.ply,Asterix_GammaNoise_4.ply,2.75,2.966666667,2.0,5.0,1.5,5.0
Asterix_GammaNoise_3.ply,Asterix_GammaNoise_5.ply,2.75,2.857142857,2.0,5.0,1.0,4.5
Asterix_GammaNoise_3.ply,Asterix_GammaNoise_7.ply,2.75,2.285714286,2.0,5.0,1.0,3.5
Asterix_GammaNoise_4.ply,Asterix_GammaNoise_5.ply,2.966666667,2.857142857,1.5,5.0,1.0,4.5
Asterix_GammaNoise_4.ply,Asterix_GammaNoise_7.ply,2.966666667,2.285714286,1.5,5.0,1.0,3.5
Asterix_GammaNoise_5.ply,Asterix_GammaNoise_7.ply,2.857142857,2.285714286,1.0,4.5,1.0,3.5
Asterix_MultiplicativeGaussianNoise_1.ply,Asterix_MultiplicativeGaussianNoise_3.ply,2.933333333,2.633333333,2.5,5.0,2.0,5.0
