name,mos
apple_dec_0_r1.ply,4.181818182
apple_dec_0_r2.ply,5.090909091
apple_dec_0_r3.ply,6.060606061
apple_dec_0_r4.ply,5.121212121
apple_dec_0_r5.ply,5.727272727
apple_dec_0_r6.ply,6.848484848
apple_dec_0_r7.ply,5.818181818
apple_dec_0_r8.ply,6
apple_dec_0_r9.ply,8
apple_q_bit10_CN1.ply,9.424242424
apple_q_bit10_CN2.ply,7.181818182
apple_q_bit10_CN3.ply,4.939393939
apple_q_bit10_CN4.ply,3.696969697
apple_q_bit10_CN5.ply,3.151515152
apple_q_bit10_DS1.ply,9.242424242
apple_q_bit10_DS2.ply,8.606060606
apple_q_bit10_DS3.ply,6.424242424
apple_q_bit10_DS4.ply,4.393939394
apple_q_bit10_DS5.ply,2.121212121
apple_q_bit10_GN1.ply,9.03030303
apple_q_bit10_GN2.ply,8.787878788
apple_q_bit10_GN3.ply,8.090909091
apple_q_bit10_GN4.ply,4.818181818
apple_q_bit10_GN5.ply,4.696969697
apple_q_bit10_dl_R0.ply,1.303030303
apple_q_bit10_dl_R2.ply,3.636363636
apple_q_bit10_dl_R3.ply,5.606060606
apple_q_bit10_dl_R5.ply,6.090909091
apple_q_bit10_dl_R6.ply,7.03030303
apple_q_bit10_gpcc_r1.ply,8.818181818
apple_q_bit10_gpcc_r2.ply,7.606060606
apple_q_bit10_gpcc_r3.ply,4.545454545
apple_q_bit10_gpcc_r4.ply,6.939393939
apple_q_bit10_gpcc_r5.ply,6.060606061
apple_q_bit10_gpcc_r6.ply,4.454545455
apple_q_bit10_gpcc_r7.ply,2.878787879
apple_q_bit10_gpcc_r8.ply,3.272727273
apple_q_bit10_gpcc_r9.ply,2.848484848
apple_q_bit10_gpcc_r10.ply,1.575757576
apple_q_bit10_gpcc_r11.ply,1.848484848
apple_q_bit10_gpcc_r12.ply,1.545454545
axe_dec_0_r1.ply,5.515151515
axe_dec_0_r2.ply,6.787878788
axe_dec_0_r3.ply,6.575757576
axe_dec_0_r4.ply,5.212121212
axe_dec_0_r5.ply,7.303030303
axe_dec_0_r6.ply,7.818181818
axe_dec_0_r7.ply,5.303030303
axe_dec_0_r8.ply,7.666666667
axe_dec_0_r9.ply,8.03030303
axe_q_bit10_CN1.ply,9.090909091
axe_q_bit10_CN2.ply,8.272727273
axe_q_bit10_CN3.ply,4.939393939
axe_q_bit10_CN4.ply,4.03030303
axe_q_bit10_CN5.ply,3.242424242
axe_q_bit10_DS1.ply,9.242424242
axe_q_bit10_DS2.ply,9.090909091
axe_q_bit10_DS3.ply,8.363636364
axe_q_bit10_DS4.ply,6.121212121
axe_q_bit10_DS5.ply,2.939393939
axe_q_bit10_GN1.ply,7.96969697
axe_q_bit10_GN2.ply,6.909090909
axe_q_bit10_GN3.ply,4.03030303
axe_q_bit10_GN4.ply,2.848484848
axe_q_bit10_GN5.ply,2.636363636
axe_q_bit10_dl_R0.ply,1.121212121
axe_q_bit10_dl_R2.ply,3.242424242
axe_q_bit10_dl_R3.ply,5.303030303
axe_q_bit10_dl_R5.ply,8.060606061
axe_q_bit10_dl_R6.ply,8.666666667
axe_q_bit10_gpcc_r1.ply,6.878787879
axe_q_bit10_gpcc_r2.ply,6.606060606
axe_q_bit10_gpcc_r3.ply,5.848484848
axe_q_bit10_gpcc_r4.ply,8.060606061
axe_q_bit10_gpcc_r5.ply,6.545454545
axe_q_bit10_gpcc_r6.ply,4.666666667
axe_q_bit10_gpcc_r7.ply,6.787878788
axe_q_bit10_gpcc_r8.ply,6.272727273
axe_q_bit10_gpcc_r9.ply,3.909090909
axe_q_bit10_gpcc_r10.ply,2.484848485
axe_q_bit10_gpcc_r11.ply,2.424242424
axe_q_bit10_gpcc_r12.ply,2
banana_dec_0_r1.ply,6.121212121
banana_dec_0_r2.ply,7.272727273
banana_dec_0_r3.ply,8.060606061
banana_dec_0_r4.ply,6
banana_dec_0_r5.ply,9.181818182
banana_dec_0_r6.ply,8.545454545
banana_dec_0_r7.ply,5.696969697
banana_dec_0_r8.ply,8.606060606
banana_dec_0_r9.ply,8.939393939
banana_q_bit10_CN1.ply,9.272727273
banana_q_bit10_CN2.ply,6.606060606
banana_q_bit10_CN3.ply,4.96969697
banana_q_bit10_CN4.ply,4.03030303
banana_q_bit10_CN5.ply,3.575757576
banana_q_bit10_DS1.ply,9.303030303
